date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:29	84550/84550	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:27%20GMT	https://www.jazz.com.pk/postpaid/sms-delivery-receipt/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/sms-delivery-receipt/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:30	285/285	---M-Z	302	error ('Found')	text/html	date:Wed,%2009%20May%202018%2005:18:28%20GMT	https://twitter.com/share?url=https://www.jazz.com.pk/postpaid/4g-sim-offer/&text=Offers%20-%20Jazz&via=jazzpk	C:/Websites/Jazz/twitter.com/share.1da9997.delayed	(from https://www.jazz.com.pk/postpaid-services/offers/)
10:18:31	85740/85740	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:30%20GMT	https://www.jazz.com.pk/postpaid/jazz-muslim-life/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/jazz-muslim-life/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:31	87308/87308	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:30%20GMT	https://www.jazz.com.pk/postpaid/jazz-video-news-alerts/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/jazz-video-news-alerts/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:32	87860/87860	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:31%20GMT	https://www.jazz.com.pk/postpaid/jazz-drama-channel/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/jazz-drama-channel/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:33	5655/5655	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:31%20GMT	https://twitter.com/intent/tweet?url=https%3A%2F%2Fwww.jazz.com.pk%2Fpostpaid%2F4g-sim-offer%2F&via=jazzpk&text=Offers%20-%20Jazz&original_referer=http%3A%2F%2Fwww.jazz.com.pk%2Fpostpaid-services%2Foffers%2F	C:/Websites/Jazz/twitter.com/intent/tweetf820.html	(from https://www.jazz.com.pk/postpaid-services/offers/)
10:18:34	90203/90203	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:33%20GMT	https://www.jazz.com.pk/postpaid/jazz-market/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/jazz-market/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:35	89940/89940	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:33%20GMT	https://www.jazz.com.pk/postpaid/jazz-auto-reply/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/jazz-auto-reply/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:35	1377/1377	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:34%20GMT	https://www.facebook.com/sharer/sharer.php?u=https://www.jazz.com.pk/postpaid/4g-sim-offer/	C:/Websites/Jazz/www.facebook.com/sharer/sharer41ce.html	(from https://www.jazz.com.pk/postpaid-services/offers/)
10:18:36	87551/87551	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:34%20GMT	https://www.jazz.com.pk/postpaid/jazz-intro-me/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/jazz-intro-me/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:37	84943/84943	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:36%20GMT	https://www.jazz.com.pk/postpaid/jazz-fun/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/jazz-fun/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:38	28129/28129	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2008%20May%202018%2013:45:18%20GMT	https://www.jazz.com.pk/postpaid-services/offers/feed/	C:/Websites/Jazz/www.jazz.com.pk/postpaid-services/offers/feed/index.html	(from https://www.jazz.com.pk/postpaid-services/offers/)
10:18:38	90281/90281	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:36%20GMT	https://www.jazz.com.pk/postpaid/jazz-rozgar/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/jazz-rozgar/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:39	84793/84793	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:37%20GMT	https://www.jazz.com.pk/postpaid/guardian-service/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/guardian-service/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:39	0/0	---M-Z	302	error ('Found')	text/html	date:Wed,%2009%20May%202018%2005:18:39%20GMT	https://www.linkedin.com/shareArticle?url=https://www.jazz.com.pk/postpaid/4g-sim-offer/&title=Offers%20-%20Jazz	C:/Websites/Jazz/www.linkedin.com/shareArticle.1dd7474.delayed	(from https://www.jazz.com.pk/postpaid-services/offers/)
10:18:40	51541/51541	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:39%20GMT	https://www.linkedin.com/start/join?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fsharing%2Fshare-offsite%3Furl%3Dhttps%3A%2F%2Fwww.jazz.com.pk%2Fpostpaid%2F4g-sim-offer%2F%26title%3DOffers%2520-%2520Jazz	C:/Websites/Jazz/www.linkedin.com/start/join753a.html	(from https://www.jazz.com.pk/postpaid-services/offers/)
10:18:41	138336/138336	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Sep%202016%2018:45:58%20GMT	https://www.jazz.com.pk/assets/uploads/2016/09/15-113-Our-Offers.jpg	C:/Websites/Jazz/www.jazz.com.pk/assets/uploads/2016/09/15-113-Our-Offers.jpg	(from https://www.jazz.com.pk/postpaid-services/offers/)
10:18:41	283/283	---M-Z	302	error ('Found')	text/html	date:Wed,%2009%20May%202018%2005:18:41%20GMT	https://twitter.com/share?url=https://www.jazz.com.pk/postpaid/j-1500/&text=Packages%20-%20Jazz&via=jazzpk	C:/Websites/Jazz/twitter.com/share.1e0c6bf.delayed	(from https://www.jazz.com.pk/postpaid-services/packages/)
10:18:42	26100/26100	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2008%20May%202018%2013:45:18%20GMT	https://www.jazz.com.pk/postpaid-services/packages/feed/	C:/Websites/Jazz/www.jazz.com.pk/postpaid-services/packages/feed/index.html	(from https://www.jazz.com.pk/postpaid-services/packages/)
